time,open,high,low,close,volume
1726466410,25380.25,25380.5,25379.5,25379.95,0
1726466415,25380.0,25380.15,25378.75,25380.05,0
1726466420,25380.5,25381.1,25379.95,25379.95,0
1726466425,25380.1,25381.1,25379.55,25379.55,0
1726466430,25379.45,25380.45,25379.15,25380.0,0
1726466435,25380.15,25380.15,25378.4,25378.65,0
1726466440,25379.45,25379.45,25377.85,25378.35,0
1726466445,25378.4,25378.8,25377.75,25378.65,0
1726466450,25378.65,25379.65,25377.3,25379.65,0
1726466455,25379.65,25379.65,25377.35,25377.5,0
1726466460,25377.4,25377.45,25374.8,25374.85,0
1726466465,25374.15,25375.65,25374.15,25375.45,0
1726466470,25375.15,25376.7,25375.05,25376.7,0
1726466475,25376.3,25376.85,25375.95,25376.05,0
1726466480,25376.0,25376.5,25375.45,25376.2,0
1726466485,25376.35,25377.2,25375.75,25376.75,0
1726466490,25376.8,25376.9,25376.2,25376.65,0
1726466495,25376.8,25376.85,25375.65,25376.25,0
1726466500,25376.2,25377.4,25376.05,25376.8,0
1726466505,25377.25,25377.5,25376.2,25377.05,0
1726466510,25376.85,25377.55,25375.95,25376.45,0
1726466515,25376.15,25377.75,25375.6,25377.75,0
1726466520,25376.9,25378.2,25376.9,25377.5,0
1726466525,25377.05,25378.15,25376.9,25377.6,0
1726466530,25377.9,25378.05,25377.05,25377.8,0
1726466535,25377.55,25378.5,25377.0,25377.55,0
1726466540,25377.05,25378.4,25376.65,25377.8,0
1726466545,25378.4,25378.7,25377.5,25378.3,0
1726466550,25378.1,25378.9,25377.25,25377.95,0
1726466555,25377.55,25378.9,25377.05,25378.15,0
1726466560,25377.0,25379.45,25376.95,25379.0,0
1726466565,25378.0,25379.4,25376.65,25376.65,0
1726466570,25377.15,25377.35,25374.8,25374.8,0
1726466575,25375.9,25375.9,25374.8,25375.5,0
1726466580,25375.35,25375.35,25373.9,25375.35,0
1726466585,25375.65,25375.65,25373.45,25373.7,0
1726466590,25373.4,25373.65,25372.9,25373.55,0
1726466595,25372.55,25374.25,25372.15,25373.45,0
1726466600,25373.95,25374.55,25373.85,25373.85,0
1726466605,25374.2,25374.4,25372.95,25373.75,0
1726466610,25374.2,25374.5,25372.85,25374.5,0
1726466615,25374.9,25374.9,25373.25,25373.25,0
1726466620,25373.05,25374.15,25373.05,25373.55,0
1726466625,25373.15,25373.15,25372.1,25372.15,0
1726466630,25371.95,25373.0,25370.85,25371.1,0
1726466635,25371.15,25372.25,25370.8,25371.9,0
1726466640,25372.05,25372.6,25371.2,25371.55,0
1726466645,25371.05,25372.1,25370.2,25371.65,0
1726466650,25371.45,25371.85,25370.8,25370.8,0
1726466655,25371.2,25372.75,25371.2,25371.6,0
1726466660,25371.25,25371.75,25370.9,25371.45,0
1726466665,25371.8,25372.75,25371.25,25372.75,0
1726466670,25372.05,25372.45,25371.1,25372.4,0
1726466675,25371.8,25372.1,25370.45,25371.05,0
1726466680,25371.55,25372.85,25371.55,25371.95,0
1726466685,25371.6,25372.35,25370.75,25370.75,0
1726466690,25371.55,25371.7,25370.25,25371.1,0
1726466695,25370.95,25371.65,25370.3,25371.55,0
1726466700,25372.2,25372.2,25370.6,25370.6,0
1726466705,25370.05,25370.65,25369.1,25370.5,0
1726466710,25370.85,25370.9,25370.1,25370.5,0
